iter	Passed	Remaining
444	1187	1480
445	1189	1477
446	1192	1474
447	1195	1472
448	1198	1470
449	1200	1467
450	1203	1464
451	1206	1462
452	1208	1459
453	1211	1456
454	1213	1453
455	1215	1450
456	1217	1447
457	1220	1444
458	1223	1441
459	1226	1439
460	1228	1436
461	1231	1433
462	1233	1430
463	1236	1428
464	1238	1425
465	1241	1422
466	1243	1419
467	1246	1416
468	1248	1413
469	1251	1411
470	1254	1408
471	1256	1406
472	1259	1402
473	1261	1399
474	1264	1398
475	1268	1396
476	1270	1393
477	1272	1389
478	1275	1387
479	1277	1384
480	1280	1381
481	1283	1378
482	1286	1376
483	1288	1374
484	1291	1371
485	1293	1368
486	1296	1365
487	1299	1363
488	1301	1360
489	1304	1357
490	1306	1354
491	1309	1351
492	1311	1349
493	1314	1346
494	1316	1343
495	1319	1340
496	1321	1337
497	1324	1335
498	1327	1332
499	1329	1329
500	1332	1326
501	1335	1324
502	1337	1321
503	1340	1319
504	1343	1316
505	1346	1314
506	1348	1311
507	1351	1309
508	1353	1306
509	1356	1303
510	1359	1300
511	1362	1298
512	1364	1295
513	1367	1292
514	1369	1289
515	1372	1287
516	1375	1285
517	1378	1283
518	1381	1280
519	1384	1277
520	1386	1275
521	1389	1272
522	1391	1269
523	1395	1267
524	1397	1264
525	1400	1261
526	1402	1259
527	1405	1256
528	1408	1254
529	1411	1251
530	1413	1248
531	1416	1246
532	1418	1243
533	1421	1240
534	1424	1238
535	1427	1235
536	1430	1233
537	1433	1230
538	1436	1228
539	1439	1226
540	1443	1224
541	1446	1222
542	1449	1219
543	1452	1217
544	1455	1214
545	1457	1212
546	1460	1209
547	1463	1206
548	1466	1204
549	1469	1202
550	1472	1199
551	1474	1196
552	1477	1194
553	1479	1191
554	1482	1188
555	1485	1185
556	1487	1182
557	1489	1180
558	1492	1177
559	1495	1174
560	1497	1171
561	1500	1169
562	1503	1166
563	1505	1163
564	1508	1161
565	1512	1159
566	1514	1156
567	1516	1153
568	1520	1151
569	1523	1149
570	1527	1147
571	1530	1144
572	1532	1142
573	1535	1139
574	1538	1136
575	1540	1134
576	1542	1131
577	1546	1128
578	1548	1125
579	1550	1123
580	1553	1120
581	1555	1117
582	1558	1114
583	1560	1111
584	1563	1109
585	1565	1106
586	1568	1103
587	1571	1100
588	1573	1098
589	1576	1095
590	1579	1092
591	1580	1089
592	1584	1087
593	1587	1084
594	1590	1082
595	1592	1079
596	1595	1076
597	1597	1073
598	1600	1071
599	1602	1068
600	1605	1065
601	1607	1062
602	1610	1060
603	1612	1057
604	1615	1054
605	1618	1052
606	1620	1049
607	1623	1046
608	1625	1043
609	1628	1041
610	1630	1038
611	1633	1035
612	1635	1032
613	1637	1029
614	1640	1026
615	1643	1024
616	1646	1021
617	1648	1018
618	1650	1015
619	1652	1013
620	1655	1010
621	1657	1007
622	1660	1004
623	1663	1002
624	1666	999
625	1669	997
626	1672	994
627	1674	991
628	1676	989
629	1679	986
630	1681	983
631	1684	980
632	1687	978
633	1689	975
634	1691	972
635	1694	969
636	1696	966
637	1699	964
638	1701	961
639	1704	958
640	1707	956
641	1709	953
642	1712	950
643	1714	947
644	1716	944
645	1719	942
646	1722	939
647	1725	937
648	1726	933
649	1729	931
650	1732	928
651	1734	925
652	1736	923
653	1739	920
654	1742	917
655	1746	915
656	1749	913
