iter	Logloss
0	0.6689295913
1	0.6439287791
2	0.6226977968
3	0.6090412162
4	0.5962035355
5	0.5744112936
6	0.5586465609
7	0.5485566215
8	0.532548594
9	0.5228912941
10	0.5134871635
11	0.5010911366
12	0.4899884978
13	0.4796365923
14	0.4721943835
15	0.4596257486
16	0.4498817877
17	0.4429214792
18	0.4257812119
19	0.4164364626
20	0.408129606
21	0.4014012203
22	0.3940590364
23	0.3856738224
24	0.3812312501
25	0.374717852
26	0.3704806514
27	0.3608634713
28	0.3563478915
29	0.3502929019
30	0.3468638938
31	0.3420657643
32	0.3381083474
33	0.3334388332
34	0.3294484156
35	0.3209187508
36	0.3134381035
37	0.306471736
38	0.2999398086
39	0.2951614211
40	0.2873237587
41	0.2827473338
42	0.2796561052
43	0.2743854706
44	0.2699607881
45	0.2661284124
46	0.260131034
47	0.2537119912
48	0.2509870698
49	0.2478356856
50	0.2432738342
51	0.2384959279
52	0.2358132682
53	0.2291788296
54	0.2254186985
55	0.2200127974
56	0.2166816328
57	0.2128688295
58	0.2099376254
59	0.2057173857
60	0.2000456333
61	0.1949637326
62	0.1908275377
63	0.1863569923
64	0.1815972072
65	0.1793863076
66	0.1758132929
67	0.1709656221
68	0.16782794
69	0.1647055207
70	0.1624921153
71	0.1597264935
72	0.1571092187
73	0.1533683126
74	0.1505567615
75	0.1478034566
76	0.1463134969
77	0.1428491697
78	0.1410402845
79	0.138059933
80	0.13457729
81	0.1323807856
82	0.1302556869
83	0.1282363519
84	0.1257187134
85	0.123455175
86	0.1209480699
87	0.1189028943
88	0.1160446632
89	0.1128939111
90	0.1114149948
91	0.1083817459
92	0.106047211
93	0.1034146466
94	0.1020712527
95	0.1002831884
96	0.09808964671
97	0.09638985773
98	0.09585023566
99	0.09508149798
100	0.09331193087
101	0.09187472623
102	0.08929505348
103	0.08813614613
104	0.0871933751
105	0.08614279817
106	0.08412964984
107	0.08351208524
108	0.08131812724
109	0.08036395399
110	0.07882122063
111	0.07782543461
112	0.07660558631
113	0.07523285005
114	0.07488200839
115	0.07307389306
116	0.07155127758
117	0.06990129424
118	0.06874368598
119	0.06770806778
120	0.06686613967
121	0.06547659548
122	0.06469813789
123	0.06357813463
124	0.06257750465
125	0.06235114074
126	0.06171428634
127	0.06136476587
128	0.0604666582
129	0.0598877744
130	0.05860501731
131	0.05734508096
132	0.05654778713
133	0.05573049871
134	0.05531614815
135	0.05480693608
136	0.05444530859
137	0.05380514191
138	0.05325133277
139	0.05222460119
140	0.05133703744
141	0.05063164292
142	0.0502830831
143	0.04929029186
144	0.04858207703
145	0.04768708159
146	0.04669472183
147	0.04627208593
148	0.04594283685
149	0.04549413774
150	0.04464513965
151	0.04388969933
152	0.04352664366
153	0.04289663594
154	0.04236714665
155	0.0420659356
156	0.04158963227
157	0.04150317239
158	0.04107766966
159	0.04052822881
160	0.03992370512
161	0.03949355032
162	0.03886454396
163	0.0384640903
164	0.03818816325
165	0.03802610607
166	0.0379615586
